     ,FARECARD USAGE BY STATION FOR DATE RANGE: ,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                          
     ,12/24/2016-12/30/2016,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                               
R013,34TH STREET & 8TH AVENUE      ,00034591,00001828,00000155,00000556,00000370,00016046,00016461,00000000,00000000,00000000,00000000,00000501,00000341,00000667,00001617,00000854,00000350,00000000,00000920,00000000,00000000,00000000,00000541,00000000,                                                                                                                      
R014,FULTON STREET                 ,00154994,00004072,00000391,00000824,00000440,00066569,00048273,00000000,00000000,00000000,00000000,00001469,00001045,00000704,00006290,00002443,00001196,00000000,00003737,00000000,00000000,00000000,00002144,00000000,                                                                                                                      
R015,FIFTH AVENUE                  ,00064031,00002551,00000109,00000417,00000468,00024566,00020013,00000000,00000000,00000000,00000000,00001176,00000467,00000640,00002863,00001806,00000515,00000000,00001643,00000000,00000000,00000000,00000785,00000000,                                                                                                                      
R016,LEXINGTON AVENUE              ,00011152,00000679,00000056,00000144,00000040,00004691,00006420,00000000,00000000,00000000,00000000,00000206,00000056,00000055,00000872,00000275,00000177,00000000,00000189,00000000,00000000,00000000,00000151,00000000,                                                                                                                      
R017,LEXINGTON AVENUE              ,00067412,00004068,00000249,00000807,00000364,00024433,00032058,00000000,00000000,00000000,00000000,00001213,00000661,00000599,00003655,00002110,00000776,00000000,00001558,00000000,00000000,00000000,00000705,00000000,                                                                                                                      
R018,ROOSEVELT AVE/JACKSON HTS     ,00083447,00006022,00001077,00002866,00000040,00064629,00083801,00000000,00000000,00000000,00000000,00000517,00001782,00000049,00005277,00000673,00000916,00000000,00001142,00000000,00000000,00000000,00004300,00000000,                                                                                                                      
R019,179TH STREET & HILLSIDE AVE   ,00027065,00001685,00000369,00000902,00000022,00017078,00019179,00000000,00000000,00000000,00000000,00000445,00000846,00000008,00002194,00000374,00000162,00000000,00000231,00000000,00000000,00000000,00001317,00000000,                                                                                                                      
R020,47-50 STREETS/ROCKEFELLER     ,00186994,00007720,00000507,00001360,00000474,00082963,00064316,00000000,00000000,00000000,00000000,00002433,00001577,00000407,00008482,00003255,00001253,00000000,00003537,00000000,00000000,00000000,00003464,00000000,                                                                                                                      
R021,42ND STREET & 6TH AVENUE      ,00089442,00003690,00000361,00000949,00000129,00044161,00045790,00000000,00000000,00000000,00000000,00001528,00000674,00000060,00005620,00001724,00000841,00000000,00001731,00000000,00000000,00000000,00002556,00000000,                                                                                                                      
R022,34TH STREET & 6TH AVENUE      ,00192267,00008489,00000770,00002114,00000527,00106397,00086805,00000000,00000000,00000000,00000000,00001867,00002200,00000465,00008447,00002513,00001427,00000000,00003960,00000000,00000000,00000000,00006493,00000000,                                                                                                                      
R023,34TH STREET & 6TH AVENUE      ,00113644,00005224,00000497,00001270,00000282,00044089,00056380,00000000,00000000,00000000,00000000,00001582,00001112,00000340,00005000,00002312,00001129,00000000,00001853,00000000,00000000,00000000,00002505,00000000,                                                                                                                      
R024,SUTPHIN BOULEVARD             ,00044156,00002083,00000365,00000700,00000213,00034290,00019609,00000000,00000000,00000000,00000000,00000266,00000998,00000344,00001844,00000424,00000243,00000000,00012315,00000000,00000000,00000000,00001351,00000000,                                                                                                                      
R025,JAMAICA CENTER-PARSONS BLVD   ,00049672,00001862,00000704,00001351,00000018,00048373,00026465,00000000,00000000,00000000,00000000,00000294,00001515,00000036,00003497,00000177,00000239,00000000,00000448,00000000,00000000,00000000,00002954,00000000,                                                                                                                      
R027,WALL STREET                   ,00036230,00001681,00000116,00000293,00000502,00013854,00018404,00000000,00000000,00000000,00000000,00000619,00000227,00001044,00002749,00000985,00000440,00000000,00000695,00000000,00000000,00000000,00000409,00000000,                                                                                                                      
R028,FULTON & WILLIAM STREETS      ,00043821,00002705,00000196,00000794,00000232,00021394,00024583,00000000,00000000,00000000,00000000,00000519,00000484,00000360,00003985,00000927,00000515,00000000,00001056,00000000,00000000,00000000,00000898,00000000,                                                                                                                      
R029,PARK PLACE                    ,00103661,00003910,00000268,00000937,00000435,00036572,00035324,00000000,00000000,00000000,00000000,00001052,00000864,00000770,00004373,00001990,00000887,00000000,00002553,00000000,00000000,00000000,00001353,00000000,                                                                                                                      
R030,CHAMBERS STREET               ,00030379,00001825,00000145,00000391,00000200,00013554,00014346,00000000,00000000,00000000,00000000,00000363,00000222,00000475,00001721,00000756,00000346,00000000,00000539,00000000,00000000,00000000,00000789,00000000,                                                                                                                      
R031,34TH STREET & 7TH AVENUE      ,00079266,00004724,00000353,00000859,00000703,00035204,00027329,00000000,00000000,00000000,00000000,00000699,00000961,00001267,00003566,00001699,00000592,00000000,00001293,00000000,00000000,00000000,00002162,00000000,                                                                                                                      
R032,42ND STREET/TIMES SQUARE      ,00060141,00003086,00000236,00000815,00000111,00028701,00037671,00000000,00000000,00000000,00000000,00001058,00000480,00000075,00003682,00001191,00000795,00000000,00000961,00000000,00000000,00000000,00001060,00000000,                                                                                                                      
R033,42ND STREET/TIMES SQUARE      ,00202055,00005937,00000539,00001433,00000327,00108521,00053721,00000000,00000000,00000000,00000000,00001340,00002189,00000311,00006247,00002318,00000954,00000000,00004453,00000000,00000000,00000000,00005458,00000000,                                                                                                                      
R034,125TH STREET & BROADWAY       ,00013293,00001255,00000140,00000299,00000028,00008985,00007286,00000000,00000000,00000000,00000000,00000068,00000372,00000019,00000781,00000204,00000146,00000000,00000293,00000000,00000000,00000000,00000729,00000000,                                                                                                                      
R035,168TH STREET & BROADWAY       ,00041233,00002974,00000343,00000624,00000091,00023996,00025546,00000000,00000000,00000000,00000000,00000159,00001212,00000072,00002095,00000715,00000604,00000000,00000551,00000000,00000000,00000000,00003441,00000000,                                                                                                                      
R036,DYCKMAN STREET                ,00013701,00001376,00000148,00000346,00000002,00011516,00006991,00000000,00000000,00000000,00000000,00000059,00000778,00000002,00000832,00000076,00000120,00000000,00000094,00000000,00000000,00000000,00001197,00000000,                                                                                                                      
R037,207TH STREET                  ,00009313,00000807,00000137,00000168,00000001,00011807,00005658,00000000,00000000,00000000,00000000,00000027,00000491,00000005,00000640,00000033,00000046,00000000,00000057,00000000,00000000,00000000,00000859,00000000,                                                                                                                      
R038,215TH STREET                  ,00003055,00000315,00000029,00000092,00000003,00001840,00001955,00000000,00000000,00000000,00000000,00000013,00000094,00000004,00000183,00000067,00000053,00000000,00000040,00000000,00000000,00000000,00000217,00000000,                                                                                                                      
R039,225TH STREET                  ,00011027,00000698,00000106,00000131,00000029,00008442,00005188,00000000,00000000,00000000,00000000,00000052,00000325,00000023,00000658,00000070,00000077,00000000,00000090,00000000,00000000,00000000,00000795,00000000,                                                                                                                      
R040,231ST STREET                  ,00016187,00001713,00000218,00000538,00000004,00011743,00009641,00000000,00000000,00000000,00000000,00000115,00000661,00000007,00001080,00000167,00000098,00000000,00000101,00000000,00000000,00000000,00000918,00000000,                                                                                                                      
R041,BOWLING GREEN & BATTERY PL    ,00035048,00001867,00000242,00000517,00000222,00019347,00016517,00000000,00000000,00000000,00000000,00000562,00000496,00000420,00002492,00000628,00000320,00000000,00000820,00000000,00000000,00000000,00000605,00000000,                                                                                                                      
R042,BOWLING GREEN & BROADWAY      ,00010135,00000263,00000048,00000056,00000048,00009035,00002790,00000000,00000000,00000000,00000000,00000070,00000076,00000065,00000314,00000097,00000046,00000000,00000337,00000000,00000000,00000000,00000240,00000000,                                                                                                                      
R043,WALL STREET                   ,00030732,00001548,00000143,00000262,00000218,00014282,00015960,00000000,00000000,00000000,00000000,00000561,00000208,00000512,00001788,00000636,00000357,00000000,00000599,00000000,00000000,00000000,00000506,00000000,                                                                                                                      
R044,BROOKLYN BRIDGE               ,00050770,00003193,00000219,00000861,00000170,00028536,00025232,00000000,00000000,00000000,00000000,00000529,00000553,00000410,00003088,00000869,00000589,00000000,00001341,00000000,00000000,00000000,00001215,00000000,                                                                                                                      
R045,42ND STREET & GRAND CENTRAL   ,00047714,00002844,00000127,00000313,00000751,00010538,00013489,00000000,00000000,00000000,00000000,00000604,00000274,00001063,00001585,00001285,00000284,00000000,00000624,00000000,00000000,00000000,00000609,00000000,                                                                                                                      
R046,42ND STREET & GRAND CENTRAL   ,00182496,00007718,00000489,00001060,00001452,00064144,00057235,00000000,00000000,00000000,00000000,00001760,00001765,00001872,00006741,00003323,00001284,00000000,00003776,00000000,00000000,00000000,00001881,00000000,                                                                                                                      
R047,42ND STREET & GRAND CENTRAL   ,00064884,00003740,00000262,00000671,00000482,00024135,00037919,00000000,00000000,00000000,00000000,00001250,00000473,00001033,00005544,00001899,00000773,00000000,00000825,00000000,00000000,00000000,00000751,00000000,                                                                                                                      
R048,42ND STREET & 3RD AVENUE      ,00018729,00000964,00000040,00000203,00000169,00006361,00011299,00000000,00000000,00000000,00000000,00000339,00000101,00000227,00001300,00000628,00000181,00000000,00000239,00000000,00000000,00000000,00000187,00000000,                                                                                                                      
R049,51ST STREET & LEXINGTON AVE   ,00050348,00002468,00000161,00000429,00000095,00025877,00020969,00000000,00000000,00000000,00000000,00000701,00000370,00000075,00003310,00000975,00000485,00000000,00001305,00000000,00000000,00000000,00000609,00000000,                                                                                                                      
R050,59TH STREET & LEXINGTON AVE   ,00045450,00002826,00000240,00000607,00000176,00025358,00026475,00000000,00000000,00000000,00000000,00000659,00000511,00000263,00003322,00001024,00000489,00000000,00000723,00000000,00000000,00000000,00000753,00000000,                                                                                                                      
R051,59TH STREET & LEXINGTON AVE   ,00067616,00004561,00000367,00000986,00000118,00042674,00044807,00000000,00000000,00000000,00000000,00000884,00000528,00000209,00005050,00001540,00000808,00000000,00000937,00000000,00000000,00000000,00001216,00000000,                                                                                                                      
R052,WOODLAWN ROAD                 ,00008938,00000585,00000137,00000298,00000010,00008381,00004993,00000000,00000000,00000000,00000000,00000060,00000410,00000004,00000477,00000070,00000026,00000000,00000047,00000000,00000000,00000000,00000347,00000000,                                                                                                                      
R053,149TH STREET & 3RD AVENUE     ,00032794,00001748,00000498,00000850,00000006,00039223,00017069,00000000,00000000,00000000,00000000,00000127,00001276,00000005,00002469,00000094,00000124,00000000,00000146,00000000,00000000,00000000,00003252,00000000,                                                                                                                      
R054,FIFTH AVENUE & 42ND STREET    ,00031662,00001444,00000115,00000304,00000072,00014840,00015573,00000000,00000000,00000000,00000000,00000391,00000318,00000048,00001448,00000555,00000298,00000000,00000591,00000000,00000000,00000000,00000837,00000000,                                                                                                                      
R055,MAIN STREET                   ,00092811,00007809,00000769,00004706,00000039,00052949,00086196,00000000,00000000,00000000,00000000,00000643,00001918,00000051,00003662,00000717,00000523,00000000,00000875,00000000,00000000,00000000,00004890,00000000,                                                                                                                      
R056,NEVINS STREET                 ,00016572,00001188,00000193,00000424,00000015,00011939,00008484,00000000,00000000,00000000,00000000,00000095,00000365,00000019,00001038,00000226,00000124,00000000,00000198,00000000,00000000,00000000,00001158,00000000,                                                                                                                      
R057,BARCLAYS CENTER               ,00084085,00004777,00000665,00001509,00000726,00044504,00043689,00000000,00000000,00000000,00000000,00000625,00001325,00001277,00004847,00001338,00000865,00000000,00001468,00000000,00000000,00000000,00004736,00000000,                                                                                                                      
R058,BERGEN STREET                 ,00005402,00000405,00000038,00000106,00000002,00002683,00004124,00000000,00000000,00000000,00000000,00000061,00000065,00000002,00000646,00000164,00000114,00000000,00000098,00000000,00000000,00000000,00000189,00000000,                                                                                                                      
R059,GRAND ARMY PLAZA              ,00010912,00001686,00000087,00000276,00000011,00004421,00007517,00000000,00000000,00000000,00000000,00000146,00000254,00000018,00001016,00000267,00000161,00000000,00000178,00000000,00000000,00000000,00000471,00000000,                                                                                                                      
R060,EASTERN PARKWAY               ,00007355,00000773,00000092,00000174,00000004,00004413,00004863,00000000,00000000,00000000,00000000,00000074,00000184,00000003,00000768,00000120,00000115,00000000,00000145,00000000,00000000,00000000,00000441,00000000,                                                                                                                      
R061,NOSTRAND AVENUE               ,00006047,00000464,00000114,00000136,00000002,00004802,00003722,00000000,00000000,00000000,00000000,00000025,00000181,00000000,00000468,00000047,00000068,00000000,00000102,00000000,00000000,00000000,00000476,00000000,                                                                                                                      
R062,UTICA AVENUE                  ,00047297,00002880,00000782,00001211,00000013,00039891,00026114,00000000,00000000,00000000,00000000,00000284,00001195,00000023,00003467,00000127,00000305,00000000,00000298,00000000,00000002,00000000,00004100,00000000,                                                                                                                      
R064,SARATOGA AVENUE               ,00010314,00000508,00000084,00000169,00000003,00007208,00003951,00000000,00000000,00000000,00000000,00000056,00000279,00000001,00000527,00000065,00000058,00000000,00000034,00000000,00000000,00000000,00001685,00000000,                                                                                                                      
R065,ROCKAWAY AVENUE               ,00011055,00000906,00000147,00000304,00000003,00008527,00003874,00000000,00000000,00000000,00000000,00000030,00000539,00000004,00000421,00000049,00000029,00000000,00000041,00000000,00000000,00000000,00002472,00000000,                                                                                                                      
R068,VAN SICLEN AVENUE             ,00010477,00000624,00000164,00000151,00000003,00007827,00003672,00000000,00000000,00000000,00000000,00000036,00000421,00000001,00000498,00000022,00000049,00000000,00000037,00000000,00000000,00000000,00001334,00000000,                                                                                                                      
R069,NEW LOTS AVENUE               ,00009348,00000571,00000147,00000218,00000000,00009075,00004302,00000000,00000000,00000000,00000000,00000029,00000375,00000003,00000497,00000034,00000036,00000000,00000039,00000000,00000000,00000000,00001014,00000000,                                                                                                                      
R070,ST GEORGE TERMINAL            ,00022661,00001272,00000094,00000288,00000007,00004420,00005776,00000000,00000000,00000000,00000000,00000622,00000113,00000009,00000660,00000970,00000064,00000000,00000058,00000000,00000000,00000000,00000657,00000000,                                                                                                                      
R072,34TH STREET - HUDSON YARDS    ,00015526,00000452,00000074,00000132,00000040,00008460,00006297,00000000,00000000,00000000,00000000,00000112,00000094,00000027,00000627,00000248,00000156,00000000,00000353,00000000,00000000,00000000,00000230,00000000,                                                                                                                      
R079,FIFTH AVENUE & 60TH STREET    ,00047301,00001952,00000124,00000427,00000099,00024406,00019514,00000000,00000000,00000000,00000000,00000532,00000425,00000160,00002666,00000809,00000365,00000000,00000998,00000000,00000000,00000000,00000866,00000000,                                                                                                                      
R080,57TH STREET & 7TH AVENUE      ,00058741,00003853,00000268,00000964,00000110,00031796,00033018,00000000,00000000,00000000,00000000,00000705,00000690,00000152,00004239,00001115,00000619,00000000,00001196,00000000,00000000,00000000,00000642,00000000,                                                                                                                      
R081,49TH STREET & 7TH AVENUE      ,00077161,00002403,00000235,00000677,00000090,00044907,00030801,00000000,00000000,00000000,00000001,00000761,00000612,00000072,00003686,00001182,00000587,00000000,00002029,00000000,00000000,00000000,00001150,00000000,                                                                                                                      
R082,28TH STREET & BROADWAY        ,00021847,00000845,00000124,00000262,00000036,00014986,00013174,00000000,00000000,00000000,00000000,00000207,00000279,00000014,00001128,00000411,00000285,00000000,00000558,00000000,00000000,00000000,00000359,00000000,                                                                                                                      
R083,23RD STREET & 5TH AVENUE      ,00037227,00001613,00000149,00000409,00000087,00025159,00021579,00000000,00000000,00000000,00000000,00000478,00000305,00000051,00002038,00000736,00000491,00000000,00000969,00000000,00000000,00000000,00000621,00000000,                                                                                                                      
R084,59TH STREET/COLUMBUS CIRCLE   ,00132176,00009388,00000768,00002257,00000358,00075220,00067190,00000000,00000000,00000000,00000000,00001254,00001736,00000377,00007216,00002630,00001494,00000000,00003325,00000000,00000000,00000000,00002554,00000000,                                                                                                                      
R085,8TH STREET & BROADWAY         ,00032856,00001877,00000120,00000407,00000055,00016831,00017431,00000000,00000000,00000000,00000000,00000293,00000246,00000040,00001383,00000656,00000307,00000000,00000865,00000000,00000000,00000000,00000730,00000000,                                                                                                                      
R086,PRINCE STREET & BROADWAY      ,00041773,00001098,00000067,00000182,00000046,00024169,00018559,00000000,00000000,00000000,00000000,00000294,00000195,00000038,00001692,00000646,00000393,00000000,00001098,00000000,00000000,00000000,00001719,00000000,                                                                                                                      
R087,CITY HALL                     ,00011648,00000671,00000038,00000193,00000009,00005836,00006115,00000000,00000000,00000000,00000000,00000148,00000105,00000023,00000646,00000221,00000137,00000000,00000259,00000000,00000000,00000000,00000329,00000000,                                                                                                                      
R088,CORTLANDT STREET              ,00062232,00001124,00000085,00000210,00000030,00029020,00014151,00000000,00000000,00000000,00000000,00000459,00000404,00000045,00001363,00000810,00000356,00000000,00001766,00000000,00000000,00000000,00000684,00000000,                                                                                                                      
R089,JAY ST-METROTECH              ,00005858,00000337,00000021,00000081,00000002,00003452,00003296,00000000,00000000,00000000,00000000,00000061,00000075,00000012,00000368,00000158,00000080,00000000,00000150,00000000,00000000,00000000,00000212,00000000,                                                                                                                      
R090,39TH AVENUE & 31ST STREET     ,00005665,00000278,00000044,00000090,00000002,00006431,00002639,00000000,00000000,00000000,00000000,00000034,00000147,00000002,00000211,00000054,00000052,00000000,00000176,00000000,00000000,00000000,00000163,00000000,                                                                                                                      
R091,36TH AVENUE & 31ST STREET     ,00011514,00000725,00000067,00000168,00000008,00007320,00009319,00000000,00000000,00000000,00000000,00000095,00000267,00000005,00000767,00000121,00000204,00000000,00000155,00000000,00000000,00000000,00000495,00000000,                                                                                                                      
R092,BROADWAY & 31ST STREET        ,00020551,00001363,00000116,00000321,00000012,00010412,00018301,00000000,00000000,00000000,00000000,00000222,00000510,00000019,00001820,00000273,00000440,00000000,00000289,00000000,00000000,00000000,00000641,00000000,                                                                                                                      
R093,30TH AVENUE & 31ST STREET     ,00022071,00001234,00000139,00000285,00000009,00012476,00019304,00000000,00000000,00000000,00000000,00000122,00000600,00000013,00001961,00000299,00000399,00000000,00000264,00000000,00000000,00000000,00000728,00000000,                                                                                                                      
R094,ASTORIA BLVD & 31ST STREET    ,00019253,00000931,00000092,00000222,00000009,00010492,00015318,00000000,00000000,00000000,00000000,00000173,00000406,00000018,00001566,00000250,00000321,00000000,00000275,00000000,00000000,00000000,00000589,00000000,                                                                                                                      
R095,DITMARS BLVD & 31ST STREET    ,00027992,00001521,00000139,00000291,00000008,00013473,00022545,00000000,00000000,00000000,00000000,00000335,00000693,00000013,00002023,00000475,00000424,00000000,00000333,00000000,00000000,00000000,00001073,00000000,                                                                                                                      
R096,82ND STREET-JACKSON HEIGHTS   ,00031491,00002683,00000343,00000634,00000013,00023871,00018238,00000000,00000000,00000000,00000000,00000164,00000794,00000016,00001078,00000123,00000195,00000000,00000329,00000000,00000000,00000000,00002137,00000000,                                                                                                                      
R097,JUNCTION BLVD-ROOSEVELT AVE   ,00049329,00001413,00000193,00000502,00000018,00037447,00018649,00000000,00000000,00000000,00000000,00000107,00000702,00000003,00000908,00000059,00000214,00000000,00000316,00000000,00000000,00000000,00002603,00000000,                                                                                                                      
R098,CHURCH AVENUE                 ,00026631,00001773,00000377,00000636,00000011,00020691,00017584,00000000,00000000,00000000,00000000,00000178,00000737,00000009,00002174,00000143,00000334,00000000,00000243,00000000,00000000,00000000,00001883,00000000,                                                                                                                      
R099,DEKALB AVENUE                 ,00025222,00001627,00000189,00000932,00000015,00014867,00019984,00000000,00000000,00000000,00000000,00000299,00000405,00000033,00001937,00000438,00000336,00000000,00000468,00000000,00000000,00000000,00001541,00000000,                                                                                                                      
R100,METROPOLITAN AVENUE           ,00007248,00000339,00000053,00000143,00000001,00004159,00003643,00000000,00000000,00000000,00000000,00000070,00000168,00000001,00000358,00000079,00000034,00000000,00000051,00000000,00000000,00000000,00000496,00000000,                                                                                                                      
R101,145TH STREET                  ,00032518,00001769,00000366,00000734,00000009,00034765,00026634,00000000,00000000,00000000,00000000,00000128,00000688,00000007,00002640,00000253,00000530,00000000,00000452,00000000,00000000,00000000,00002160,00000000,                                                                                                                      
R102,125TH STREET                  ,00043769,00002672,00000622,00001278,00000020,00040202,00028836,00000000,00000000,00000000,00000000,00000218,00001257,00000034,00003379,00000328,00000434,00000000,00000674,00000000,00000000,00000000,00003018,00000000,                                                                                                                      
R103,BROADWAY-EAST NEW YORK        ,00013790,00000678,00000257,00000349,00000014,00013338,00006596,00000000,00000000,00000000,00000000,00000056,00000568,00000004,00000681,00000041,00000089,00000000,00000117,00000000,00000000,00000000,00001000,00000000,                                                                                                                      
R104,167TH ST-GRAND CONCOURSE      ,00017780,00000690,00000191,00000323,00000002,00020093,00009393,00000000,00000000,00000000,00000000,00000062,00000424,00000009,00001087,00000051,00000109,00000000,00000133,00000000,00000000,00000000,00001799,00000000,                                                                                                                      
R105,14TH STREET & 7TH AVENUE      ,00041157,00003860,00000311,00001060,00000062,00024642,00022903,00000000,00000000,00000000,00000000,00000555,00000542,00000085,00002529,00000965,00000502,00000000,00000958,00000000,00000000,00000000,00000918,00000000,                                                                                                                      
R106,CASTLE HILL AVENUE            ,00011673,00000580,00000110,00000169,00000003,00008863,00005914,00000000,00000000,00000000,00000000,00000085,00000255,00000000,00000740,00000049,00000072,00000000,00000074,00000000,00000000,00000000,00000940,00000000,                                                                                                                      
R107,WESTCHESTER SQUARE            ,00007943,00000565,00000114,00000248,00000000,00006759,00004862,00000000,00000000,00000000,00000000,00000056,00000288,00000002,00000497,00000052,00000036,00000000,00000041,00000000,00000000,00000000,00000618,00000000,                                                                                                                      
R108,BOROUGH HALL - COURT STREET   ,00049613,00004944,00000474,00001222,00000135,00023754,00030699,00000000,00000000,00000000,00000000,00000601,00000827,00000319,00004028,00001108,00000628,00000000,00000770,00000000,00000000,00000000,00002136,00000000,                                                                                                                      
R109,CHURCH AVENUE & NOSTRAND AV   ,00016562,00001135,00000278,00000442,00000002,00012217,00007923,00000000,00000000,00000000,00000000,00000097,00000445,00000004,00001094,00000035,00000099,00000000,00000113,00000000,00000002,00000000,00001159,00000000,                                                                                                                      
R110,FLATBUSH AVE & NOSTRAND AV    ,00025103,00001693,00000458,00000779,00000008,00019849,00016197,00000000,00000000,00000000,00000000,00000221,00000514,00000003,00002371,00000216,00000169,00000000,00000168,00000000,00000000,00000000,00001672,00000000,                                                                                                                      
R111,23RD STREET & 8TH AVENUE      ,00037010,00003629,00000260,00001157,00000036,00021490,00021515,00000000,00000001,00000000,00000000,00000407,00000519,00000036,00001959,00000789,00000540,00000000,00001023,00000000,00000000,00000000,00001149,00000000,                                                                                                                      
R112,FORDHAM RD/GRAND CONCOURSE    ,00021099,00001076,00000187,00000362,00000015,00020998,00009295,00000000,00000000,00000000,00000000,00000077,00000531,00000006,00001019,00000160,00000084,00000000,00000138,00000000,00000000,00000000,00001902,00000000,                                                                                                                      
R113,SEVENTH AVENUE & WEST 53RD    ,00038032,00001288,00000104,00000259,00000165,00019060,00013248,00000000,00000000,00000000,00000000,00000462,00000308,00000224,00002354,00000892,00000305,00000000,00001378,00000000,00000000,00000000,00000443,00000000,                                                                                                                      
R114,PARSONS BLVD & HILLSIDE AV    ,00010183,00000618,00000112,00000310,00000006,00007160,00006463,00000000,00000000,00000000,00000000,00000072,00000277,00000001,00000447,00000070,00000060,00000000,00000094,00000000,00000000,00000000,00000924,00000000,                                                                                                                      
R115,169TH STREET & HILLSIDE AVE   ,00015544,00000929,00000125,00000356,00000008,00008379,00009761,00000000,00000000,00000000,00000000,00000111,00000432,00000003,00000593,00000088,00000105,00000000,00000180,00000000,00000000,00000000,00001276,00000000,                                                                                                                      
R116,50TH STREET & 7TH AVENUE      ,00068280,00003350,00000220,00000648,00000388,00032576,00021807,00000000,00000000,00000000,00000001,00000668,00000733,00000454,00003167,00001394,00000504,00000000,00001568,00000000,00000000,00000000,00000670,00000000,                                                                                                                      
R117,242ND STREET & BROADWAY       ,00009703,00000495,00000102,00000183,00000010,00007365,00005077,00000000,00000000,00000000,00000000,00000035,00000285,00000007,00000589,00000122,00000045,00000000,00000047,00000000,00000000,00000000,00000288,00000000,                                                                                                                      
R118,CANAL STREET                  ,00023146,00003517,00000140,00002409,00000014,00009701,00026440,00000000,00000000,00000000,00000000,00000234,00000332,00000031,00001198,00000272,00000224,00000000,00000436,00000000,00000000,00000000,00001414,00000000,                                                                                                                      
R119,FORDHAM ROAD & JEROME AVE     ,00018998,00000999,00000253,00000362,00000007,00020644,00008042,00000000,00000000,00000000,00000000,00000046,00000655,00000007,00000922,00000052,00000071,00000000,00000082,00000000,00000000,00000000,00002040,00000000,                                                                                                                      
